,track_id,ranking,date,playlist_id
0,4xhsWYTOGcal8zt0J161CU,1,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
1,52eIcoLUM25zbQupAZYoFh,2,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
2,0mflMxspEfB0VbI1kyLiAv,3,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
3,4KULAymBBJcPRpk1yO4dOG,4,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
4,79AHPJd8upvNxyK2qQcY8J,5,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
5,0R6NfOiLzLj4O5VbYSJAjf,6,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
6,6uTPdRrEDeH8Fyg5L5qmeU,7,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
7,1BxfuPKGuaTgP7aM0Bbdwr,8,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
8,3vkCueOmm7xQDoJ17W1Pm3,9,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
9,6XaJfhwof7qIgbbXO5tIQI,10,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
10,3rUGC1vUpkDG9CZFHMur1t,11,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
11,6tNQ70jh4OwmPGpYy6R2o9,12,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
12,7gaA3wERFkFkgivjwbSvkG,13,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
13,4w2Furap0ZzaiK4J14E9sR,14,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
14,3WMj8moIAXJhHsyLaqIIHI,15,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
15,17phhZDn6oGtzMe56NuWvj,16,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
16,1udwFobQ1JoOdWPQrp2b6u,17,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
17,1yeB8MUNeLo9Ek1UEpsyz6,18,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
18,5XVdHRf4CAJ2Jm0uMIy5qY,19,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
19,6WzRpISELf3YglGAh7TXcG,20,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
20,7K3BhSpAxZBznislvUMVtn,21,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
21,1a73gcEg6h6Re6hHXoVltJ,22,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
22,47Xj8eIAp7hYOOqArmkqZE,23,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
23,6rjuKpPydT2SxN15TZpV7r,24,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
24,7CyPwkp0oE8Ro9Dd5CUDjW,25,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
25,5PyDJG7SQRgWXefgexqIge,26,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
26,4tKGFmENO69tZR9ahgZu48,27,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
27,56y1jOTK0XSvJzVv9vHQBK,28,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
28,2Zo1PcszsT9WQ0ANntJbID,29,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
29,2YSzYUF3jWqb9YP9VXmpjE,30,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
30,6wsqVwoiVH2kde4k4KKAFU,31,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
31,2yUzr8Sr6ldG8vmHhZwTnz,32,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
32,4rXLjWdF2ZZpXCVTfWcshS,33,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
33,4iZ4pt7kvcaH6Yo8UoZ4s2,34,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
34,4HMop4Re0iucehmF7mgV27,35,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
35,7aqfrAY2p9BUSiupwk3svU,36,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
36,1kuGVB7EU95pJObxwvfwKS,37,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
37,0PAcdVzhPO4gq1Iym9ESnK,38,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
38,5W4kiM2cUYBJXKRudNyxjW,39,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
39,68Dni7IE4VyPkTOH9mRWHr,40,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
40,3xKsf9qdS1CyvXSMEid6g8,41,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
41,7KA4W4McWYRpgf0fWsJZWB,42,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
42,1Iq8oo9XkmmvCQiGOfORiz,43,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
43,0QosomGFiJYOxj2ViZfqng,44,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
44,6uIIdjYTxxpWOyWuVXrKQO,45,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
45,3cBsEDNhFI9E82vPj3kvi3,46,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
46,05WVKTdZhlIMX4qqMLuo0f,47,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
47,4EWCNWgDS8707fNSZ1oaA5,48,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
48,4E63weMCaNZuGPEFMnuEi8,49,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
49,6CvTEtGagmzQvkUzzyKR9k,50,2024-01-28,37i9dQZEVXbLRQDuF5jeBp
